service_id,vehicle_id,service_date,service_type,resolution_days,service_cost
SERV-00033,VEH-0836,2022-12-30,Inspection,7,1142.71
SERV-00034,VEH-0930,2023-06-03,Inspection,27,706.26
SERV-00035,VEH-0596,2025-02-05,Repair,24,988.32
SERV-00036,VEH-0580,2025-07-05,Repair,17,1187.25
SERV-00037,VEH-0811,2025-07-10,Inspection,23,1013.52
SERV-00038,VEH-0669,2025-01-06,Emergency Repair,14,1437.22
SERV-00039,VEH-0486,2025-11-23,Inspection,18,128.01
SERV-00040,VEH-0016,2024-05-27,Repair,20,1309.83
SERV-00041,VEH-0879,2024-10-21,Repair,30,968.99
SERV-00042,VEH-0424,2025-12-13,Inspection,25,903.16
SERV-00043,VEH-0505,2025-11-30,Repair,25,1101.13
SERV-00044,VEH-0599,2024-12-08,Inspection,15,307.27
SERV-00045,VEH-0411,2022-11-08,Repair,6,1115.87
SERV-00046,VEH-0697,2024-01-14,Emergency Repair,2,671.34
SERV-00047,VEH-0662,2024-06-30,Repair,6,896.78
SERV-00048,VEH-0936,2024-05-10,Routine Maintenance,11,726.18
SERV-00049,VEH-0808,2023-08-21,Routine Maintenance,5,1396.51
SERV-00050,VEH-0504,2025-11-12,Routine Maintenance,25,1401.95
SERV-00051,VEH-0057,2024-04-26,Emergency Repair,26,880.38
SERV-00052,VEH-0217,2025-05-18,Routine Maintenance,26,1076.14
SERV-00053,VEH-0178,2025-10-05,Repair,6,804.88
SERV-00054,VEH-0788,2025-05-02,Repair,14,837.47
SERV-00055,VEH-0717,2024-11-12,Routine Maintenance,12,370.74
SERV-00056,VEH-0649,2024-01-15,Inspection,11,573.16
SERV-00057,VEH-0873,2023-08-25,Emergency Repair,18,1244.35
SERV-00058,VEH-0956,2024-03-18,Routine Maintenance,22,551.71
SERV-00059,VEH-0149,2025-01-27,Repair,2,1039.7
SERV-00060,VEH-0925,2024-11-26,Emergency Repair,30,1204.5
SERV-00061,VEH-0117,2022-11-09,Emergency Repair,9,833.34
SERV-00062,VEH-0577,2024-07-03,Routine Maintenance,30,799.46
SERV-00063,VEH-0806,2024-04-21,Emergency Repair,16,113.58
SERV-00064,VEH-0493,2025-10-30,Repair,11,795.15
SERV-00065,VEH-0364,2024-03-31,Repair,25,830.06
SERV-00066,VEH-0756,2023-11-04,Routine Maintenance,7,1021.99
SERV-00067,VEH-0150,2025-10-10,Repair,28,1043.84
SERV-00068,VEH-0807,2023-05-21,Repair,18,1251.69
SERV-00069,VEH-0949,2025-06-17,Routine Maintenance,24,1044.76
SERV-00070,VEH-0008,2024-01-21,Emergency Repair,23,530.99
SERV-00071,VEH-0840,2024-06-12,Routine Maintenance,2,308.09
SERV-00072,VEH-0609,2023-08-04,Routine Maintenance,19,1241.35
SERV-00073,VEH-0600,2024-06-24,Emergency Repair,13,704.13
SERV-00074,VEH-0886,2024-12-10,Emergency Repair,11,74.49
SERV-00075,VEH-0836,2023-04-24,Routine Maintenance,21,1094.41
SERV-00076,VEH-0994,2023-05-13,Routine Maintenance,23,1279.96
SERV-00077,VEH-0025,2025-04-28,Routine Maintenance,10,1190.99
SERV-00078,VEH-0129,2025-05-23,Routine Maintenance,10,1159.65
SERV-00079,VEH-0196,2024-12-10,Emergency Repair,13,1242.08
SERV-00080,VEH-0055,2024-09-06,Emergency Repair,6,823.53
SERV-00081,VEH-0564,2024-11-08,Emergency Repair,26,1206.35
SERV-00082,VEH-0067,2024-12-05,Inspection,21,258.91
SERV-00083,VEH-0637,2024-10-02,Routine Maintenance,18,1318.41
SERV-00084,VEH-0212,2024-02-04,Routine Maintenance,2,57.29
SERV-00085,VEH-0461,2025-03-28,Emergency Repair,18,843.91
SERV-00086,VEH-0650,2024-11-20,Inspection,7,1135.03
SERV-00087,VEH-0632,2024-11-15,Repair,14,1363.16
SERV-00088,VEH-0907,2025-06-18,Repair,6,316.79
SERV-00089,VEH-0220,2025-02-25,Inspection,7,216.2
SERV-00090,VEH-0820,2025-03-11,Routine Maintenance,28,1139.01
SERV-00091,VEH-0623,2025-10-20,Emergency Repair,21,847.01
SERV-00092,VEH-0148,2023-10-29,Routine Maintenance,9,192.39
SERV-00093,VEH-0472,2025-10-16,Inspection,12,235.91
SERV-00094,VEH-0996,2025-03-03,Repair,4,463.45
SERV-00095,VEH-0382,2023-07-24,Repair,11,754.5
SERV-00096,VEH-0264,2024-11-27,Inspection,23,897.05
SERV-00097,VEH-0519,2024-11-23,Inspection,14,294.53
SERV-00098,VEH-0304,2024-06-24,Repair,26,371.21
SERV-00099,VEH-0908,2025-06-10,Inspection,27,571.25
SERV-00100,VEH-0069,2025-12-18,Inspection,29,745.93
SERV-00101,VEH-0197,2025-04-02,Inspection,25,492.93
SERV-00102,VEH-0638,2025-09-11,Routine Maintenance,6,986.05
SERV-00103,VEH-0300,2024-02-12,Inspection,28,1248.34
SERV-00104,VEH-0778,2025-04-18,Repair,9,1113.64
SERV-00105,VEH-0402,2025-10-25,Routine Maintenance,24,159.33
SERV-00106,VEH-0805,2022-08-29,Routine Maintenance,27,893.74
SERV-00107,VEH-0769,2024-08-07,Repair,30,103.15
SERV-00108,VEH-0636,2025-04-30,Emergency Repair,21,1174.04
SERV-00109,VEH-0104,2025-07-05,Emergency Repair,8,1342.58
SERV-00110,VEH-0490,2025-12-08,Inspection,5,723.82
SERV-00111,VEH-0269,2025-01-08,Routine Maintenance,13,577.61
SERV-00112,VEH-0581,2023-06-22,Repair,28,1447.8
SERV-00113,VEH-0261,2023-07-22,Repair,15,280.87
SERV-00114,VEH-0498,2025-10-19,Repair,24,1111.41
SERV-00115,VEH-0800,2025-04-23,Routine Maintenance,8,1154.13
SERV-00116,VEH-0805,2023-11-08,Routine Maintenance,9,585.68
SERV-00117,VEH-0714,2024-07-10,Repair,17,1366.2
SERV-00118,VEH-0801,2024-07-20,Emergency Repair,16,1380.96
SERV-00119,VEH-0314,2025-09-29,Routine Maintenance,2,1471.86
SERV-00120,VEH-0369,2024-08-15,Routine Maintenance,23,1454.24
SERV-00121,VEH-0605,2025-10-21,Inspection,27,1125.77
SERV-00122,VEH-0870,2025-09-03,Repair,13,997.83
SERV-00123,VEH-0630,2025-03-28,Routine Maintenance,17,414.8
SERV-00124,VEH-0704,2025-12-26,Repair,17,638.47
SERV-00125,VEH-0045,2025-08-19,Inspection,16,1199.35
SERV-00126,VEH-0736,2022-12-02,Repair,15,290.13
SERV-00127,VEH-0453,2023-06-09,Inspection,7,267.85
SERV-00128,VEH-0411,2023-04-27,Inspection,20,1090.09
SERV-00129,VEH-0185,2023-05-21,Repair,14,1226.2
SERV-00130,VEH-0887,2024-04-30,Emergency Repair,22,744.28
SERV-00131,VEH-0654,2024-04-09,Repair,21,1258.38
SERV-00132,VEH-0678,2024-08-19,Repair,2,235.43
SERV-00133,VEH-0608,2025-11-18,Repair,5,962.83
SERV-00134,VEH-0383,2024-09-22,Repair,2,291.19
SERV-00135,VEH-0200,2023-06-05,Emergency Repair,20,1455.4
SERV-00136,VEH-0626,2022-08-12,Inspection,3,364.06
SERV-00137,VEH-0776,2025-07-11,Emergency Repair,28,748.42
SERV-00138,VEH-0620,2023-07-01,Emergency Repair,20,256.93
SERV-00139,VEH-0881,2025-02-28,Repair,20,1006.49
SERV-00140,VEH-0823,2024-04-25,Repair,24,1044.11
SERV-00141,VEH-0750,2025-01-01,Routine Maintenance,8,598.41
SERV-00142,VEH-0146,2023-02-11,Routine Maintenance,1,343.41
SERV-00143,VEH-0234,2025-08-29,Emergency Repair,27,266.86
SERV-00144,VEH-0414,2024-11-14,Repair,16,1357.33
SERV-00145,VEH-0424,2025-09-06,Routine Maintenance,29,1186.61
SERV-00146,VEH-0155,2025-06-22,Routine Maintenance,3,749.25
SERV-00147,VEH-0285,2022-12-06,Routine Maintenance,29,1409.72
SERV-00148,VEH-0966,2025-12-19,Emergency Repair,17,659.99
SERV-00149,VEH-0759,2023-04-23,Emergency Repair,8,1410.71
SERV-00150,VEH-0851,2025-05-09,Emergency Repair,12,904.12
SERV-00151,VEH-0830,2025-08-17,Routine Maintenance,14,244.13
SERV-00152,VEH-0182,2025-07-03,Repair,30,1295.63
SERV-00153,VEH-0169,2025-02-26,Emergency Repair,9,324.08
SERV-00154,VEH-0094,2024-03-31,Routine Maintenance,17,60.43
SERV-00155,VEH-0501,2024-12-21,Inspection,14,575.29
SERV-00156,VEH-0157,2025-04-15,Emergency Repair,21,898.79
SERV-00157,VEH-0243,2024-02-02,Emergency Repair,19,580.18
SERV-00158,VEH-0437,2024-01-22,Emergency Repair,25,345.36
SERV-00159,VEH-0294,2025-07-14,Emergency Repair,6,586.81
SERV-00160,VEH-0083,2025-06-10,Emergency Repair,9,1483.34
SERV-00161,VEH-0870,2025-09-01,Inspection,25,1072.97
SERV-00162,VEH-0122,2025-03-06,Routine Maintenance,24,383.17
SERV-00163,VEH-0882,2023-06-24,Routine Maintenance,7,787.1
SERV-00164,VEH-0888,2025-11-01,Inspection,26,848.34
SERV-00165,VEH-0151,2023-04-25,Repair,13,1448.63
SERV-00166,VEH-0832,2023-03-24,Routine Maintenance,27,260.73
SERV-00167,VEH-0956,2025-11-13,Emergency Repair,3,142.92
SERV-00168,VEH-0468,2024-01-22,Inspection,3,933.09
SERV-00169,VEH-0576,2025-07-24,Emergency Repair,20,1001.45
SERV-00170,VEH-0479,2025-04-20,Routine Maintenance,25,1239.33
SERV-00171,VEH-0652,2025-03-27,Emergency Repair,15,65.53
SERV-00172,VEH-0275,2025-03-29,Inspection,7,98.73
SERV-00173,VEH-0493,2025-07-15,Repair,20,295.75
SERV-00174,VEH-0292,2023-12-31,Inspection,8,999.78
SERV-00175,VEH-0855,2023-05-21,Routine Maintenance,9,1180.53
SERV-00176,VEH-0915,2025-06-30,Emergency Repair,13,899.82
SERV-00177,VEH-0153,2025-04-13,Routine Maintenance,24,1070.25
SERV-00178,VEH-0460,2023-01-16,Inspection,24,1253.16
SERV-00179,VEH-0325,2025-10-28,Inspection,12,1446.77
SERV-00180,VEH-0913,2024-05-26,Repair,20,1446.43
SERV-00181,VEH-0050,2025-05-15,Emergency Repair,19,56.74
SERV-00182,VEH-0556,2024-01-27,Emergency Repair,17,204.37
SERV-00183,VEH-0131,2023-04-07,Inspection,11,1423.17
SERV-00184,VEH-0803,2025-08-22,Inspection,29,829.96
SERV-00185,VEH-0734,2025-11-19,Inspection,23,692.01
SERV-00186,VEH-0500,2024-04-20,Emergency Repair,25,402.75
SERV-00187,VEH-0749,2025-03-13,Emergency Repair,22,718.04
SERV-00188,VEH-0729,2025-05-18,Routine Maintenance,16,218.59
SERV-00189,VEH-0866,2024-12-01,Emergency Repair,21,1193.55
SERV-00190,VEH-0304,2023-12-17,Repair,26,507.81
SERV-00191,VEH-0137,2025-12-30,Inspection,17,826.7
SERV-00192,VEH-0226,2024-04-28,Repair,10,184.86
SERV-00193,VEH-0355,2024-04-26,Routine Maintenance,18,1400.52
SERV-00194,VEH-0754,2025-08-13,Inspection,12,366.92
SERV-00195,VEH-0477,2025-07-31,Inspection,6,1423.32
SERV-00196,VEH-0820,2025-03-23,Repair,16,1118.81
SERV-00197,VEH-0319,2023-07-24,Repair,28,434.84
SERV-00198,VEH-0710,2023-09-13,Repair,27,412.06
SERV-00199,VEH-0046,2025-02-08,Inspection,5,1179.46
SERV-00200,VEH-0530,2023-10-19,Routine Maintenance,22,1435.88
SERV-00201,VEH-0450,2025-07-24,Routine Maintenance,25,1292.78
SERV-00202,VEH-0171,2022-06-01,Emergency Repair,12,949.97
SERV-00203,VEH-0644,2025-10-28,Inspection,16,315.16
SERV-00204,VEH-0246,2025-11-13,Inspection,13,372.03
SERV-00205,VEH-0466,2024-11-03,Repair,2,812.32
SERV-00206,VEH-0472,2025-08-12,Emergency Repair,18,97.22
SERV-00207,VEH-0022,2024-03-31,Emergency Repair,28,1045.19
SERV-00208,VEH-0180,2023-02-20,Emergency Repair,4,1062.45
SERV-00209,VEH-0030,2025-04-21,Inspection,23,62.21
SERV-00210,VEH-0078,2023-11-29,Emergency Repair,19,196.08
SERV-00211,VEH-0013,2025-03-09,Inspection,6,845.42
SERV-00212,VEH-0202,2025-01-01,Inspection,16,1439.86
SERV-00213,VEH-0165,2025-03-03,Inspection,6,773.22
SERV-00214,VEH-0088,2024-09-18,Emergency Repair,23,1140.68
SERV-00215,VEH-0859,2024-08-04,Emergency Repair,9,703.56
SERV-00216,VEH-0901,2024-10-23,Repair,19,1044.72
SERV-00217,VEH-0736,2023-06-11,Inspection,26,391.92
SERV-00218,VEH-0306,2025-03-12,Emergency Repair,7,261.47
SERV-00219,VEH-0063,2023-04-01,Emergency Repair,26,64.13
SERV-00220,VEH-0806,2024-07-26,Emergency Repair,5,1493.56
SERV-00221,VEH-0899,2025-08-05,Inspection,26,755.6
SERV-00222,VEH-0439,2024-12-19,Routine Maintenance,13,193.51
SERV-00223,VEH-0308,2024-08-21,Routine Maintenance,7,1230.04
SERV-00224,VEH-0496,2024-09-10,Routine Maintenance,15,1129.66
SERV-00225,VEH-0468,2024-04-09,Inspection,12,862.51
SERV-00226,VEH-0246,2025-12-30,Inspection,12,78.76
SERV-00227,VEH-0982,2023-08-28,Inspection,28,1035.4
SERV-00228,VEH-0917,2025-05-13,Repair,19,885.05
SERV-00229,VEH-0350,2025-02-01,Inspection,12,521.38
SERV-00230,VEH-0389,2025-06-16,Emergency Repair,25,1117.96
SERV-00231,VEH-0437,2025-10-11,Routine Maintenance,13,939.81
SERV-00232,VEH-0589,2025-07-07,Repair,28,292.98
SERV-00233,VEH-0326,2024-04-01,Emergency Repair,21,937.85
SERV-00234,VEH-0163,2024-09-20,Routine Maintenance,3,284.9
SERV-00235,VEH-0828,2024-02-28,Inspection,11,996.87
SERV-00236,VEH-0637,2024-02-28,Emergency Repair,9,1337.15
SERV-00237,VEH-0550,2025-09-19,Inspection,24,901.03
SERV-00238,VEH-0539,2025-04-07,Emergency Repair,6,316.63
SERV-00239,VEH-0125,2024-12-10,Repair,24,390.21
SERV-00240,VEH-0647,2023-07-13,Routine Maintenance,7,292.02
SERV-00241,VEH-0561,2023-08-15,Routine Maintenance,3,1408.35
SERV-00242,VEH-0226,2025-07-02,Routine Maintenance,1,1167.85
SERV-00243,VEH-0534,2024-12-10,Routine Maintenance,4,430.56
SERV-00244,VEH-0356,2023-06-17,Routine Maintenance,21,1400.8
SERV-00245,VEH-0957,2024-07-16,Inspection,8,408.72
SERV-00246,VEH-0244,2024-03-27,Emergency Repair,21,233.3
SERV-00247,VEH-0366,2025-02-24,Repair,1,100.97
SERV-00248,VEH-0597,2025-05-19,Inspection,28,740.42
SERV-00249,VEH-0307,2025-05-08,Inspection,18,695.03
SERV-00250,VEH-0923,2025-09-11,Repair,19,916.5
SERV-00251,VEH-0569,2025-03-01,Emergency Repair,17,977.69
SERV-00252,VEH-0747,2025-10-25,Inspection,30,553.39
SERV-00253,VEH-0241,2025-09-22,Repair,26,179.85
SERV-00254,VEH-0713,2025-04-04,Inspection,14,426.72
SERV-00255,VEH-0215,2023-10-16,Routine Maintenance,1,808.81
SERV-00256,VEH-0863,2025-11-02,Repair,12,465.81
SERV-00257,VEH-0196,2025-03-19,Routine Maintenance,23,1387.03
SERV-00258,VEH-0004,2025-04-13,Inspection,1,1160.51
SERV-00259,VEH-0340,2024-09-07,Repair,26,60.47
SERV-00260,VEH-0810,2025-04-10,Repair,14,1329.13
SERV-00261,VEH-0921,2024-11-07,Emergency Repair,8,286.74
SERV-00262,VEH-0483,2025-09-18,Emergency Repair,27,598.62
SERV-00263,VEH-0861,2025-03-15,Routine Maintenance,14,956.72
SERV-00264,VEH-0659,2025-06-29,Inspection,10,990.26
SERV-00265,VEH-0300,2025-05-18,Inspection,14,322.6
SERV-00266,VEH-0416,2024-02-19,Repair,5,469.91
SERV-00267,VEH-0861,2025-09-23,Emergency Repair,20,706.51
SERV-00268,VEH-0143,2025-03-26,Emergency Repair,7,514.93
SERV-00269,VEH-0106,2024-04-07,Routine Maintenance,18,82.09
SERV-00270,VEH-0007,2022-09-10,Inspection,9,231.31
SERV-00271,VEH-0522,2024-08-11,Routine Maintenance,8,180.79
SERV-00272,VEH-0611,2023-06-23,Emergency Repair,7,545.77
SERV-00273,VEH-0152,2024-09-30,Emergency Repair,12,722.34
SERV-00274,VEH-0558,2024-04-11,Inspection,3,1273.14
SERV-00275,VEH-0853,2024-02-22,Routine Maintenance,9,1174.7
SERV-00276,VEH-0198,2023-08-05,Emergency Repair,6,328.68
SERV-00277,VEH-0030,2024-02-16,Emergency Repair,27,68.29
SERV-00278,VEH-0596,2025-07-11,Repair,13,1168.28
SERV-00279,VEH-0052,2025-04-23,Repair,24,1492.08
SERV-00280,VEH-0057,2023-09-30,Emergency Repair,24,1167.94
SERV-00281,VEH-0064,2025-04-20,Repair,16,614.23
SERV-00282,VEH-0938,2024-04-14,Inspection,6,962.29
SERV-00283,VEH-0252,2023-03-16,Routine Maintenance,9,747.78
SERV-00284,VEH-0558,2025-01-09,Repair,12,1336.9
SERV-00285,VEH-0306,2025-11-07,Repair,4,392.15
SERV-00286,VEH-0253,2024-12-22,Inspection,1,292.67
SERV-00287,VEH-0054,2024-03-29,Routine Maintenance,13,1194.26
SERV-00288,VEH-0080,2023-04-01,Routine Maintenance,19,1186.04
SERV-00289,VEH-0274,2025-02-08,Repair,12,1167.66
SERV-00290,VEH-0415,2024-05-19,Repair,16,182.53
SERV-00291,VEH-0896,2024-06-24,Routine Maintenance,2,565.5
SERV-00292,VEH-0419,2024-07-28,Routine Maintenance,5,757.37
SERV-00293,VEH-0138,2025-04-01,Inspection,26,1343.1
SERV-00294,VEH-0862,2025-01-07,Routine Maintenance,23,597.76
SERV-00295,VEH-0883,2025-12-09,Repair,9,1353.06
SERV-00296,VEH-0703,2025-04-16,Emergency Repair,18,477.34
SERV-00297,VEH-0630,2025-08-02,Repair,19,320.61
SERV-00298,VEH-0574,2025-01-05,Inspection,24,729.17
SERV-00299,VEH-0652,2025-11-15,Repair,3,820.15
SERV-00300,VEH-0113,2025-07-30,Inspection,27,431.86
SERV-00301,VEH-0003,2024-08-17,Emergency Repair,1,1175.08
SERV-00302,VEH-0678,2025-04-24,Emergency Repair,24,319.02
SERV-00303,VEH-0800,2024-05-10,Inspection,25,949.29
SERV-00304,VEH-0068,2024-02-07,Routine Maintenance,22,1452.39
SERV-00305,VEH-0265,2025-03-21,Repair,17,1040.68
SERV-00306,VEH-0438,2025-05-08,Repair,20,460.54
SERV-00307,VEH-0637,2024-12-16,Inspection,4,189.57
SERV-00308,VEH-0085,2024-08-31,Routine Maintenance,27,1409.81
SERV-00309,VEH-0861,2025-01-31,Routine Maintenance,7,205.23
SERV-00310,VEH-0489,2023-12-10,Routine Maintenance,2,877.97
SERV-00311,VEH-0239,2025-11-29,Emergency Repair,22,760.37
SERV-00312,VEH-0564,2025-07-16,Inspection,2,581.21
SERV-00313,VEH-0514,2024-12-24,Routine Maintenance,1,1398.81
SERV-00314,VEH-0237,2023-10-24,Emergency Repair,30,1340.16
SERV-00315,VEH-0618,2023-01-24,Emergency Repair,26,976.43
SERV-00316,VEH-0501,2025-05-29,Emergency Repair,27,585.15
SERV-00317,VEH-0394,2023-03-10,Inspection,17,108.95
SERV-00318,VEH-0384,2024-12-31,Inspection,3,1419.68
SERV-00319,VEH-0219,2025-12-29,Routine Maintenance,4,1101.5
SERV-00320,VEH-0299,2025-07-30,Emergency Repair,7,330.02
SERV-00321,VEH-0741,2025-04-24,Repair,19,956.72
SERV-00322,VEH-0327,2024-12-17,Emergency Repair,24,203.0
SERV-00323,VEH-0859,2025-05-11,Inspection,22,715.14
SERV-00324,VEH-0637,2025-01-20,Routine Maintenance,6,1199.07
SERV-00325,VEH-0973,2025-06-12,Emergency Repair,17,539.39
SERV-00326,VEH-0236,2024-05-20,Emergency Repair,30,560.87
SERV-00327,VEH-0889,2024-08-27,Inspection,28,588.99
SERV-00328,VEH-0501,2025-08-08,Inspection,20,399.05
SERV-00329,VEH-0130,2025-02-18,Repair,13,1160.28
SERV-00330,VEH-0767,2024-11-09,Inspection,15,698.87
SERV-00331,VEH-0945,2024-05-21,Routine Maintenance,24,100.26
SERV-00332,VEH-0188,2025-03-19,Routine Maintenance,17,245.87
SERV-00333,VEH-0391,2025-01-09,Routine Maintenance,10,1477.37
SERV-00334,VEH-0387,2023-12-26,Inspection,1,1168.71
SERV-00335,VEH-0637,2024-03-17,Repair,4,104.72
SERV-00336,VEH-0373,2025-02-01,Repair,5,434.23
SERV-00337,VEH-0444,2025-09-27,Repair,8,421.55
SERV-00338,VEH-0191,2024-08-20,Routine Maintenance,19,629.71
SERV-00339,VEH-0145,2023-10-05,Routine Maintenance,24,520.8
SERV-00340,VEH-0903,2025-07-02,Repair,16,1247.27
SERV-00341,VEH-0679,2025-03-21,Routine Maintenance,20,981.27
SERV-00342,VEH-0457,2022-10-25,Emergency Repair,3,1181.18
SERV-00343,VEH-0753,2024-10-23,Inspection,29,1234.86
SERV-00344,VEH-0626,2024-11-04,Routine Maintenance,28,1167.07
SERV-00345,VEH-0973,2025-09-27,Routine Maintenance,21,1177.26
SERV-00346,VEH-0303,2025-02-28,Routine Maintenance,10,810.36
SERV-00347,VEH-0803,2024-07-20,Repair,11,778.48
SERV-00348,VEH-0197,2024-12-08,Repair,2,1026.77
SERV-00349,VEH-0106,2024-12-10,Emergency Repair,25,912.94
SERV-00350,VEH-0290,2024-11-25,Routine Maintenance,8,676.31
SERV-00351,VEH-0991,2025-02-15,Repair,5,537.44
SERV-00352,VEH-0738,2025-08-07,Routine Maintenance,18,628.83
SERV-00353,VEH-0599,2024-10-13,Emergency Repair,17,680.01
SERV-00354,VEH-0767,2024-07-05,Repair,16,860.98
SERV-00355,VEH-0932,2025-02-05,Emergency Repair,21,878.43
SERV-00356,VEH-0232,2024-12-29,Repair,8,153.88
SERV-00357,VEH-0196,2025-11-22,Emergency Repair,11,1042.87
SERV-00358,VEH-0799,2023-06-01,Routine Maintenance,22,649.69
SERV-00359,VEH-0096,2024-05-10,Inspection,7,515.07
SERV-00360,VEH-0922,2023-01-01,Inspection,6,1482.1
SERV-00361,VEH-0531,2025-08-23,Repair,15,115.07
SERV-00362,VEH-0560,2024-05-23,Repair,22,592.04
SERV-00363,VEH-0467,2025-12-29,Routine Maintenance,4,1122.39
SERV-00364,VEH-0211,2024-01-12,Repair,28,1257.04
SERV-00365,VEH-0589,2025-01-08,Routine Maintenance,11,1056.0
SERV-00366,VEH-0269,2022-10-13,Inspection,15,733.23
SERV-00367,VEH-0800,2025-03-26,Repair,24,830.11
SERV-00368,VEH-0284,2024-12-01,Inspection,18,750.39
SERV-00369,VEH-0117,2023-01-05,Routine Maintenance,13,895.36
SERV-00370,VEH-0969,2025-10-25,Routine Maintenance,9,296.96
SERV-00371,VEH-0484,2024-05-24,Repair,26,1059.96
SERV-00372,VEH-0056,2025-01-20,Routine Maintenance,15,999.4
SERV-00373,VEH-0981,2023-01-24,Routine Maintenance,13,1007.54
SERV-00374,VEH-0663,2025-05-01,Routine Maintenance,1,474.12
SERV-00375,VEH-0766,2024-07-23,Repair,13,787.38
SERV-00376,VEH-0143,2025-04-04,Routine Maintenance,29,507.41
SERV-00377,VEH-0651,2025-05-22,Routine Maintenance,6,338.37
SERV-00378,VEH-0756,2025-02-07,Routine Maintenance,2,408.72
SERV-00379,VEH-0262,2025-05-29,Inspection,16,620.43
SERV-00380,VEH-0921,2023-04-13,Routine Maintenance,12,1042.25
SERV-00381,VEH-0535,2025-07-31,Inspection,8,1494.19
SERV-00382,VEH-0294,2025-04-01,Inspection,26,139.91
SERV-00383,VEH-0240,2023-12-23,Emergency Repair,29,1499.93
SERV-00384,VEH-0992,2023-01-30,Inspection,8,269.98
SERV-00385,VEH-0666,2025-11-01,Emergency Repair,22,249.03
SERV-00386,VEH-0874,2025-10-07,Emergency Repair,17,1442.88
SERV-00387,VEH-0098,2025-10-08,Repair,14,398.52
SERV-00388,VEH-0290,2023-12-01,Emergency Repair,10,1369.12
SERV-00389,VEH-0858,2024-02-27,Emergency Repair,18,241.07
SERV-00390,VEH-0266,2025-05-09,Repair,19,834.96
SERV-00391,VEH-0631,2025-09-15,Repair,28,250.26
SERV-00392,VEH-0967,2025-09-01,Repair,14,1493.74
SERV-00393,VEH-0399,2025-09-22,Repair,21,1402.89
SERV-00394,VEH-0395,2022-12-30,Inspection,3,858.14
SERV-00395,VEH-0382,2023-11-01,Repair,11,1267.31
SERV-00396,VEH-0092,2024-10-19,Routine Maintenance,25,512.1
SERV-00397,VEH-0931,2025-08-07,Emergency Repair,10,692.36
SERV-00398,VEH-0651,2025-07-02,Inspection,5,1179.71
SERV-00399,VEH-0964,2023-05-05,Repair,6,87.99
SERV-00400,VEH-0163,2025-04-20,Inspection,20,872.21
SERV-00401,VEH-0134,2024-11-29,Repair,8,1046.7
SERV-00402,VEH-0986,2024-05-09,Routine Maintenance,23,1180.75
SERV-00403,VEH-0559,2023-07-31,Emergency Repair,23,991.87
SERV-00404,VEH-0731,2023-02-27,Emergency Repair,16,737.08
SERV-00405,VEH-0233,2023-03-31,Repair,8,96.73
SERV-00406,VEH-0786,2024-06-09,Inspection,14,372.7
SERV-00407,VEH-0854,2023-08-20,Repair,3,306.76
SERV-00408,VEH-0456,2025-03-31,Emergency Repair,23,521.1
SERV-00409,VEH-0340,2025-08-11,Repair,14,637.06
SERV-00410,VEH-0286,2023-01-08,Emergency Repair,24,503.7
SERV-00411,VEH-0934,2025-11-28,Routine Maintenance,17,208.51
